"Kirjauspäivä";"Arvopäivä";"Määrä EUROA";"Laji";"Selitys";"Saaja/Maksaja";"Saajan tilinumero";"Saajan pankin BIC";"Viite";"Viesti";"Arkistointitunnus"
"2025-01-05";"2025-01-05";"959,24";"506";"TILISIIRTO";"Demo Personal Household";"";"";"ref=";"Viesti: Own transfer";"20250105/DEMO/000001"
"2025-01-07";"2025-01-07";"-253,71";"162";"PKORTTIMAKSU";"Supermarket Plus";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Supermarket Plus";"20250107/DEMO/000002"
"2025-01-09";"2025-01-09";"-85,35";"162";"PKORTTIMAKSU";"City Power";"";"";"ref=";"Viesti: DEMO CARD PURCHASE City Power";"20250109/DEMO/000003"
"2025-01-11";"2025-01-11";"-61,12";"162";"PKORTTIMAKSU";"Metro Transport";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Metro Transport";"20250111/DEMO/000004"
"2025-01-13";"2025-01-13";"-50,46";"162";"PKORTTIMAKSU";"Restaurant Roma";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Restaurant Roma";"20250113/DEMO/000005"
"2025-02-05";"2025-02-05";"916,44";"506";"TILISIIRTO";"Demo Personal Household";"";"";"ref=";"Viesti: Own transfer";"20250205/DEMO/000006"
"2025-02-07";"2025-02-07";"-279,32";"162";"PKORTTIMAKSU";"Supermarket Plus";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Supermarket Plus";"20250207/DEMO/000007"
"2025-02-09";"2025-02-09";"-83,20";"162";"PKORTTIMAKSU";"City Power";"";"";"ref=";"Viesti: DEMO CARD PURCHASE City Power";"20250209/DEMO/000008"
"2025-02-11";"2025-02-11";"-65,14";"162";"PKORTTIMAKSU";"Metro Transport";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Metro Transport";"20250211/DEMO/000009"
"2025-02-13";"2025-02-13";"-52,28";"162";"PKORTTIMAKSU";"Restaurant Roma";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Restaurant Roma";"20250213/DEMO/000010"
"2025-03-05";"2025-03-05";"917,44";"506";"TILISIIRTO";"Demo Personal Household";"";"";"ref=";"Viesti: Own transfer";"20250305/DEMO/000011"
"2025-03-07";"2025-03-07";"-266,47";"162";"PKORTTIMAKSU";"Supermarket Plus";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Supermarket Plus";"20250307/DEMO/000012"
"2025-03-09";"2025-03-09";"-85,35";"162";"PKORTTIMAKSU";"City Power";"";"";"ref=";"Viesti: DEMO CARD PURCHASE City Power";"20250309/DEMO/000013"
"2025-03-11";"2025-03-11";"-56,78";"162";"PKORTTIMAKSU";"Metro Transport";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Metro Transport";"20250311/DEMO/000014"
"2025-03-13";"2025-03-13";"-52,71";"162";"PKORTTIMAKSU";"Restaurant Roma";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Restaurant Roma";"20250313/DEMO/000015"
"2025-04-05";"2025-04-05";"958,56";"506";"TILISIIRTO";"Demo Personal Household";"";"";"ref=";"Viesti: Own transfer";"20250405/DEMO/000016"
"2025-04-07";"2025-04-07";"-295,08";"162";"PKORTTIMAKSU";"Supermarket Plus";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Supermarket Plus";"20250407/DEMO/000017"
"2025-04-09";"2025-04-09";"-80,96";"162";"PKORTTIMAKSU";"City Power";"";"";"ref=";"Viesti: DEMO CARD PURCHASE City Power";"20250409/DEMO/000018"
"2025-04-11";"2025-04-11";"-59,70";"162";"PKORTTIMAKSU";"Metro Transport";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Metro Transport";"20250411/DEMO/000019"
"2025-04-13";"2025-04-13";"-44,51";"162";"PKORTTIMAKSU";"Restaurant Roma";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Restaurant Roma";"20250413/DEMO/000020"
"2025-05-05";"2025-05-05";"901,14";"506";"TILISIIRTO";"Demo Personal Household";"";"";"ref=";"Viesti: Own transfer";"20250505/DEMO/000021"
"2025-05-07";"2025-05-07";"-257,46";"162";"PKORTTIMAKSU";"Supermarket Plus";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Supermarket Plus";"20250507/DEMO/000022"
"2025-05-09";"2025-05-09";"-87,61";"162";"PKORTTIMAKSU";"City Power";"";"";"ref=";"Viesti: DEMO CARD PURCHASE City Power";"20250509/DEMO/000023"
"2025-05-11";"2025-05-11";"-62,49";"162";"PKORTTIMAKSU";"Metro Transport";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Metro Transport";"20250511/DEMO/000024"
"2025-05-13";"2025-05-13";"-41,50";"162";"PKORTTIMAKSU";"Restaurant Roma";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Restaurant Roma";"20250513/DEMO/000025"
"2025-06-05";"2025-06-05";"963,30";"506";"TILISIIRTO";"Demo Personal Household";"";"";"ref=";"Viesti: Own transfer";"20250605/DEMO/000026"
"2025-06-07";"2025-06-07";"-280,90";"162";"PKORTTIMAKSU";"Supermarket Plus";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Supermarket Plus";"20250607/DEMO/000027"
"2025-06-09";"2025-06-09";"-96,19";"162";"PKORTTIMAKSU";"City Power";"";"";"ref=";"Viesti: DEMO CARD PURCHASE City Power";"20250609/DEMO/000028"
"2025-06-11";"2025-06-11";"-65,28";"162";"PKORTTIMAKSU";"Metro Transport";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Metro Transport";"20250611/DEMO/000029"
"2025-06-13";"2025-06-13";"-42,07";"162";"PKORTTIMAKSU";"Restaurant Roma";"";"";"ref=";"Viesti: DEMO CARD PURCHASE Restaurant Roma";"20250613/DEMO/000030"
"2025-07-05";"2025-07-05";"908,47";"506";"TILISIIRTO";"Demo Personal Household";"";"";"ref=";"Viesti: Own transfer";"20250705/DEMO/000031"
